image_id,degradation_type,pareto_size,processing_time,compromise_H,compromise_SSIM,compromise_VIF,compromise_Rx,compromise_Ry,compromise_Clip,consensus_index,consensus_votes,consensus_total,entropy_improvement,contrast_improvement,val_ssim_degraded,val_ssim_enhanced,val_ssim_recovery,val_vif_degraded,val_vif_enhanced,val_vif_recovery,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
497,underexposure,97,1613.0213441848755,5.738132171529309,0.4450868615322675,1.1435708045059072,5.0,9.0,2.576047797783413,32,4,8,1.1914899364954392,0.13137054142079924,0.2903367526294574,0.581922513890811,0.29158576126135355,0.5906034718996468,0.9045376037573133,0.3139341318576665,32,39,68,1,32,32,35,32
508,skewed_histogram,100,1323.4893169403076,7.603861701751808,0.86349266191563,1.0352278860593167,2.0,4.0,1.6338967649740828,42,2,8,0.6509867109567828,0.08108038474540014,0.9236461119331866,0.9077971195181649,-0.01584899241502169,0.86977041715323,1.1785898652545759,0.3088194481013459,42,12,34,5,2,68,2,42
513,poor_local_contrast,100,1236.7702209949493,7.684677776585854,0.9443349133438884,1.0120448864750684,4.0,2.0,1.0680993209466283,28,3,8,0.23369292915271878,0.0648219447567483,0.9950514931299659,0.956451963390271,-0.03859952973969483,0.8920878676043585,1.0194461323899946,0.12735826478563606,28,28,73,5,9,17,9,28
520,overexposure,100,1111.97585105896,7.76778144171069,0.9568709225089088,1.0209119685164068,2.0,4.0,1.0,5,4,8,0.575862667992098,0.06499015203458747,0.8161083859848074,0.8481378807038185,0.032029494719011065,0.9154642914782795,1.0489085715345075,0.133444280056228,5,94,96,40,5,40,5,5
541,skewed_histogram,100,1117.1431748867035,7.452147344349724,0.7277373105252961,1.049279185122863,6.0,3.0,1.828759722861545,33,3,8,0.8519832115738826,0.10981820600703324,0.7109856802694318,0.9083290267504639,0.19734334648103213,0.830446622013127,1.1154363555228262,0.28498973350969914,33,66,28,53,33,69,48,33
550,overexposure,100,1168.5596084594727,7.852052596154751,0.9296149501975336,1.01932225619454,5.0,2.0,1.24719722981308,57,3,8,0.710063620339553,0.07164216541023588,0.7939157922077279,0.8330234873138241,0.03910769510609624,0.8984086767215421,1.0547687642733148,0.15636008755177266,57,55,52,57,1,58,1,57
551,skewed_histogram,100,1328.3504524230957,7.720211869056246,0.9512500346799632,1.000765846211884,4.0,5.0,1.0,84,2,8,0.7154479014557849,0.035415835140956364,0.8339323740859952,0.8395852321015986,0.005652858015603446,0.9483293236510257,1.0963640851771104,0.14803476152608464,84,50,74,62,53,75,4,84
560,overexposure,100,1234.0424091815948,7.623377916658746,0.9479899384849408,1.0309752298901935,2.0,6.0,1.0103899656093482,31,2,8,0.5874794980576477,0.07093760793804116,0.7429531642610978,0.802387061701812,0.059433897440714145,0.812126415834466,1.0056505499565507,0.1935241341220847,31,60,21,54,3,16,3,31
64,overexposure,100,1113.5232200622559,7.741769345447719,0.9146428586606896,1.0463172593815295,5.0,2.0,1.319325644779247,76,2,8,0.8400182123322919,0.07775111252376427,0.7554792111269449,0.8081828280421292,0.052703616915184215,0.8582931831007973,1.0773138833889708,0.21902070028817355,76,80,31,81,3,30,3,76
84,overexposure,100,1628.220190525055,7.769171949854037,0.9045480571331932,1.0714972956988311,2.0,3.0,1.3417770860322944,42,2,8,0.6638305957041828,0.09942862606364389,0.7319823443105639,0.8107594549721799,0.07877711066161608,0.8000238769195072,1.0263600047316885,0.22633612781218138,42,46,23,43,3,94,3,42
99,overexposure,100,1622.7020239830017,7.699444732751807,0.9347512151553572,1.0033373616202168,3.0,3.0,1.2275865990211736,30,2,8,0.7094475640773368,0.045113081336096206,0.859269548601968,0.8510013470451279,-0.00826820155684016,0.939572410838887,1.1179002512396048,0.1783278404007178,30,53,91,18,4,37,4,30
