image_id,a,b,methods_a,methods_b,ssim_ab,mae
296,4,37,GRA+CODAS,SMARTER+TOPSIS+BellmanZadeh+VIKOR+MABAC,0.9739115122960316,2.751722022752327
296,4,53,GRA+CODAS,PROMETHEEII,0.9346945074994684,6.035006009615385
296,37,53,SMARTER+TOPSIS+BellmanZadeh+VIKOR+MABAC,PROMETHEEII,0.9735471156708522,3.6704505871815285
303,4,21,TOPSIS+GRA+CODAS,PROMETHEEII,0.9793299703073587,7.977587866701372
303,4,29,TOPSIS+GRA+CODAS,VIKOR,0.991368292516515,4.898643721674424
303,4,55,TOPSIS+GRA+CODAS,BellmanZadeh,0.9859650795532003,6.474297889361832
303,4,65,TOPSIS+GRA+CODAS,SMARTER+MABAC,0.9974957713952971,1.2111925258757963
303,21,29,PROMETHEEII,VIKOR,0.9940918828116182,3.3645999203821657
303,21,55,PROMETHEEII,BellmanZadeh,0.9972442581732959,1.616812377511024
303,21,65,PROMETHEEII,SMARTER+MABAC,0.9844728714504711,6.990980792197452
303,29,55,VIKOR,BellmanZadeh,0.9970884614786923,1.7691015816389024
303,29,65,VIKOR,SMARTER+MABAC,0.9939956832493674,4.091888741731994
